Key,english
JunkTurretQ5,[315DCE][Quality 5][-] Junk Turret
JunkTurretQ6,[400073][Quality 6][-] Junk Turret
JunkTurretQ1desc,"Your new best friend in a demon infested world!\nCan have 2 active at once.\n\nEntity Damage: 10\nRange: 20m\nSpread: 5 degrees\nRoF: 120/minute\nMod Slots: 0\nCapacity: 100"
JunkTurretQ2desc,"Your new best friend in a demon infested world!\nCan have 2 active at once.\n\nEntity Damage: 11\nRange: 22m\nSpread: 4.5 degrees\nRoF: 126/minute\nMod Slots: 0\nCapacity: 120"
JunkTurretQ3desc,"Your new best friend in a demon infested world!\nCan have 2 active at once.\n\nEntity Damage: 12\nRange: 24m\nSpread: 4 degrees\nRoF: 132/minute\nMod Slots: 1\nCapacity: 140"
JunkTurretQ4desc,"Your new best friend in a demon infested world!\nCan have 2 active at once.\n\nEntity Damage: 13\nRange: 26m\nSpread: 3.5 degrees\nRoF: 138/minute\nMod Slots: 1\nCapacity: 160"
JunkTurretQ5desc,"Your new best friend in a demon infested world!\nCan have 2 active at once.\n\nEntity Damage: 14\nRange: 28m\nSpread: 3 degrees\nRoF: 144/minute\nMod Slots: 2\nCapacity: 180"
JunkTurretQ6desc,"Your new best friend in a demon infested world!\nCan have 2 active at once.\n\nEntity Damage: 15\nRange: 30m\nSpread: 2.5 degrees\nRoF: 150/minute\nMod Slots: 2\nCapacity: 200\n[400073]Penetrate 1 extra target[-]"
JunkTurretQ2Unlocked,Unlocked [CF7F29][Quality 2][-] Flamethrower!
JunkTurretQ3Unlocked,Unlocked [A2A41B][Quality 3][-] Flamethrower!
JunkTurretQ4Unlocked,Unlocked [42C234][Quality 4][-] Flamethrower!
JunkTurretQ5Unlocked,Unlocked [315DCE][Quality 5][-] Flamethrower!
JunkTurretQ6Unlocked,Unlocked [400073][Quality 6][-] Flamethrower!

TurretAmmoDM,Turret Ammo
TurretAmmoDMdesc,"Base Entity Damage: 10.\n\nStacks to 200.\nFinding backpacks will increase the stack size, up to 1000."

modNonFunctionalDesc,"This modification isn't functional.\n\nUpgrades will restore and enhance its effects.\n\nCan be smelted for 27 Scrap Steel or scrapped for 20 Scrap Steel."

modArmorTreasureHunterQ2,[CF7F29][Quality 2][-] Treasure Hunter's Mod
modArmorTreasureHunterQ3,[A2A41B][Quality 3][-] Treasure Hunter's Mod
modArmorTreasureHunterQ4,[42C234][Quality 4][-] Treasure Hunter's Mod
modArmorTreasureHunterQ5,[315DCE][Quality 5][-] Treasure Hunter's Mod
modArmorTreasureHunterQ6,[400073][Quality 6][-] Treasure Hunter's Mod
modArmorTreasureHunterQ2Desc,Installs onto gloves\n\nLoot Stage: + 3\nLoot Stage: +2%\nLooting Time: -10%\nXP Gain: +3%
modArmorTreasureHunterQ3Desc,Installs onto gloves\n\nLoot Stage: + 6\nLoot Stage: +4%\nLooting Time: -20%\nXP Gain: +6%
modArmorTreasureHunterQ4Desc,Installs onto gloves\n\nLoot Stage: + 9\nLoot Stage: +6%\nLooting Time: -30%\nXP Gain: +9%
modArmorTreasureHunterQ5Desc,Installs onto gloves\n\nLoot Stage: + 12\nLoot Stage: +8%\nLooting Time: -40%\nXP Gain: +12%
modArmorTreasureHunterQ6Desc,Installs onto gloves\n\nLoot Stage: + 15\nLoot Stage: +10%\nLooting Time: -50%\nXP Gain: +15%\nTreasure Radius: -1

modGunBarrelExtenderQ2,[CF7F29][Quality 2][-] Barrel Extender Mod
modGunBarrelExtenderQ3,[A2A41B][Quality 3][-] Barrel Extender Mod
modGunBarrelExtenderQ4,[42C234][Quality 4][-] Barrel Extender Mod
modGunBarrelExtenderQ5,[315DCE][Quality 5][-] Barrel Extender Mod
modGunBarrelExtenderQ6,[400073][Quality 6][-] Barrel Extender Mod
modGunBarrelExtenderQ2Desc,Reduces spread by 6%.\n\nInstalls in  Chainguns.
modGunBarrelExtenderQ3Desc,Reduces spread by 12%.\n\nInstalls in Chainguns.
modGunBarrelExtenderQ4Desc,Reduces spread by 18%.\n\nInstalls in Chainguns.
modGunBarrelExtenderQ5Desc,Reduces spread by 24%.\n\nInstalls in Chainguns.
modGunBarrelExtenderQ6Desc,Reduces spread by 30%.\n\nInstalls in Chainguns.

modGunMuzzleBrakeQ2,[CF7F29][Quality 2][-] Muzzle Brake Mod
modGunMuzzleBrakeQ3,[A2A41B][Quality 3][-] Muzzle Brake Mod
modGunMuzzleBrakeQ4,[42C234][Quality 4][-] Muzzle Brake Mod
modGunMuzzleBrakeQ5,[315DCE][Quality 5][-] Muzzle Brake Mod
modGunMuzzleBrakeQ6,[400073][Quality 6][-] Muzzle Brake Mod
modGunMuzzleBrakeQ2Desc,Reduces recoil by 7%.\nIncreases weapon handling by 7%.\n\nInstalls in Handguns and Junk Turrets.
modGunMuzzleBrakeQ3Desc,Reduces recoil by 14%.\nIncreases weapon handling by 14%.\n\nInstalls in Handguns and Junk Turrets.
modGunMuzzleBrakeQ4Desc,Reduces recoil by 21%.\nIncreases weapon handling by 21%.\n\nInstalls in Handguns and Junk Turrets.
modGunMuzzleBrakeQ5Desc,Reduces recoil by 28%.\nIncreases weapon handling by 28%.\n\nInstalls in Handguns and Junk Turrets.
modGunMuzzleBrakeQ6Desc,Reduces recoil by 35%.\nIncreases weapon handling by 35%.\n\nInstalls in Handguns and Junk Turrets.

modGunTriggerGroupAutomaticQ2,[CF7F29][Quality 2][-] Trigger Group: Full Auto Mod
modGunTriggerGroupAutomaticQ3,[A2A41B][Quality 3][-] Trigger Group: Full Auto Mod
modGunTriggerGroupAutomaticQ4,[42C234][Quality 4][-] Trigger Group: Full Auto Mod
modGunTriggerGroupAutomaticQ5,[315DCE][Quality 5][-] Trigger Group: Full Auto Mod
modGunTriggerGroupAutomaticQ6,[400073][Quality 6][-] Trigger Group: Full Auto Mod
modGunTriggerGroupAutomaticQ2Desc,Sets the trigger mode to automatic.\nFire rate reduced by 8%.\nIncremental Spread: 5%.\n\nInstalls in Handguns and Junk Turrets.
modGunTriggerGroupAutomaticQ3Desc,Sets the trigger mode to automatic.\nHas no fire rate penalty.\nIncremental Spread: 4.5%.\n\nInstalls in Handguns and Junk Turrets.
modGunTriggerGroupAutomaticQ4Desc,Sets the trigger mode to automatic.\nFire rate increased by 8%.\nIncremental Spread: 4%.\n\nInstalls in Handguns and Junk Turrets.
modGunTriggerGroupAutomaticQ5Desc,Sets the trigger mode to automatic.\nFire rate increased by 16%.\nIncremental Spread: 3.5%.\n\nInstalls in Handguns and Junk Turrets.
modGunTriggerGroupAutomaticQ6Desc,Sets the trigger mode to automatic.\nFire rate increased by 24%.\nIncremental Spread: 3%.\n\nInstalls in Handguns and Junk Turrets.

modGunForegripQ2,[CF7F29][Quality 2][-] Fore Grip Mod
modGunForegripQ3,[A2A41B][Quality 3][-] Fore Grip Mod
modGunForegripQ4,[42C234][Quality 4][-] Fore Grip Mod
modGunForegripQ5,[315DCE][Quality 5][-] Fore Grip Mod
modGunForegripQ6,[400073][Quality 6][-] Fore Grip Mod
modGunForegripQ2Desc,"Reduces spread by 4%.\nIncreases weapon handling by 4%.\n\nInstalls in Shotguns and Chainguns."
modGunForegripQ3Desc,"Reduces spread by 8%.\nIncreases weapon handling by 8%.\n\nInstalls in Shotguns and Chainguns."
modGunForegripQ4Desc,"Reduces spread by 12%.\nIncreases weapon handling by 12%.\n\nInstalls in Shotguns and Chainguns."
modGunForegripQ5Desc,"Reduces spread by 16%.\nIncreases weapon handling by 16%.\n\nInstalls in Shotguns and Chainguns."
modGunForegripQ6Desc,"Reduces spread by 20%.\nIncreases weapon handling by 20%.\n\nInstalls in Shotguns and Chainguns."

modGunRetractingStockQ2,[CF7F29][Quality 2][-] Retracting Stock Mod
modGunRetractingStockQ3,[A2A41B][Quality 3][-] Retracting Stock Mod
modGunRetractingStockQ4,[42C234][Quality 4][-] Retracting Stock Mod
modGunRetractingStockQ5,[315DCE][Quality 5][-] Retracting Stock Mod
modGunRetractingStockQ6,[400073][Quality 6][-] Retracting Stock Mod
modGunRetractingStockQ2Desc,"Reduces recoil by 8%.\n\nInstalls in Shotguns, Chainguns and Rocket Launchers."
modGunRetractingStockQ3Desc,"Reduces recoil by 16%.\n\nInstalls in Shotguns, Chainguns and Rocket Launchers."
modGunRetractingStockQ4Desc,"Reduces recoil by 24%.\n\nInstalls in Shotguns, Chainguns and Rocket Launchers."
modGunRetractingStockQ5Desc,"Reduces recoil by 32%.\n\nInstalls in Shotguns, Chainguns and Rocket Launchers."
modGunRetractingStockQ6Desc,"Reduces recoil by 40%.\n\nInstalls in Shotguns, Chainguns and Rocket Launchers."

modShotgunSawedOffBarrelQ2,[CF7F29][Quality 2][-] Sawed-Off Shotgun Mod
modShotgunSawedOffBarrelQ3,[A2A41B][Quality 3][-] Sawed-Off Shotgun Mod
modShotgunSawedOffBarrelQ4,[42C234][Quality 4][-] Sawed-Off Shotgun Mod
modShotgunSawedOffBarrelQ5,[315DCE][Quality 5][-] Sawed-Off Shotgun Mod
modShotgunSawedOffBarrelQ6,[400073][Quality 6][-] Sawed-Off Shotgun Mod
modShotgunSawedOffBarrelQ2Desc,Increases spread by 10%.\n\nInstalls in Shotguns.
modShotgunSawedOffBarrelQ3Desc,Increases spread by 20%.\n\nInstalls in Shotguns.
modShotgunSawedOffBarrelQ4Desc,Increases spread by 30%.\n\nInstalls in Shotguns.
modShotgunSawedOffBarrelQ5Desc,Increases spread by 40%.\n\nInstalls in Shotguns.
modShotgunSawedOffBarrelQ6Desc,Increases spread by 50%.\n\nInstalls in Shotguns.

modGunDuckbillQ2,[CF7F29][Quality 2][-] Shotgun Duckbill Mod
modGunDuckbillQ3,[A2A41B][Quality 3][-] Shotgun Duckbill Mod
modGunDuckbillQ4,[42C234][Quality 4][-] Shotgun Duckbill Mod
modGunDuckbillQ5,[315DCE][Quality 5][-] Shotgun Duckbill Mod
modGunDuckbillQ6,[400073][Quality 6][-] Shotgun Duckbill Mod
modGunDuckbillQ2Desc,Decreases vertical spread by 20%.\nIncreases horizontal spread by 40%.\n\nInstalls in Shotguns.
modGunDuckbillQ3Desc,Decreases vertical spread by 30%.\nIncreases horizontal spread by 60%.\n\nInstalls in Shotguns.
modGunDuckbillQ4Desc,Decreases vertical spread by 40%.\nIncreases horizontal spread by 80%.\n\nInstalls in Shotguns.
modGunDuckbillQ5Desc,Decreases vertical spread by 50%.\nIncreases horizontal spread by 100%.\n\nInstalls in Shotguns.
modGunDuckbillQ6Desc,Decreases vertical spread by 60%.\nIncreases horizontal spread by 120%.\n\nInstalls in Shotguns.

modGunChokeQ2,[CF7F29][Quality 2][-] Shotgun Choke Mod
modGunChokeQ3,[A2A41B][Quality 3][-] Shotgun Choke Mod
modGunChokeQ4,[42C234][Quality 4][-] Shotgun Choke Mod
modGunChokeQ5,[315DCE][Quality 5][-] Shotgun Choke Mod
modGunChokeQ6,[400073][Quality 6][-] Shotgun Choke Mod
modGunChokeQ2Desc,Reduces spread by 7%.\n\nInstalls in Shotguns and Junk Turrets.
modGunChokeQ3Desc,Reduces spread by 14%.\n\nInstalls in Shotguns and Junk Turrets.
modGunChokeQ4Desc,Reduces spread by 21%.\n\nInstalls in Shotguns and Junk Turrets.
modGunChokeQ5Desc,Reduces spread by 28%.\n\nInstalls in Shotguns and Junk Turrets.
modGunChokeQ6Desc,Reduces spread by 35%.\n\nInstalls in Shotguns and Junk Turrets.

modGunMagazineExtenderQ2,[CF7F29][Quality 2][-] Magazine Extender Mod
modGunMagazineExtenderQ3,[A2A41B][Quality 3][-] Magazine Extender Mod
modGunMagazineExtenderQ4,[42C234][Quality 4][-] Magazine Extender Mod
modGunMagazineExtenderQ5,[315DCE][Quality 5][-] Magazine Extender Mod
modGunMagazineExtenderQ6,[400073][Quality 6][-] Magazine Extender Mod
modGunMagazineExtenderQ2Desc,Increases ammo capacity by 2.\n\nInstalls in Handguns.
modGunMagazineExtenderQ3Desc,Increases ammo capacity by 4.\n\nInstalls in Handguns.
modGunMagazineExtenderQ4Desc,Increases ammo capacity by 6.\n\nInstalls in Handguns.
modGunMagazineExtenderQ5Desc,Increases ammo capacity by 8.\n\nInstalls in Handguns.
modGunMagazineExtenderQ6Desc,Increases ammo capacity by 10.\n\nInstalls in Handguns.

modGunDrumMagazineExtenderQ2,[CF7F29][Quality 2][-] Drum Magazine Mod
modGunDrumMagazineExtenderQ3,[A2A41B][Quality 3][-] Drum Magazine Mod
modGunDrumMagazineExtenderQ4,[42C234][Quality 4][-] Drum Magazine Mod
modGunDrumMagazineExtenderQ5,[315DCE][Quality 5][-] Drum Magazine Mod
modGunDrumMagazineExtenderQ6,[400073][Quality 6][-] Drum Magazine Mod
modGunDrumMagazineExtenderQ2Desc,Increases ammo capacity by 20.\n\nInstalls in Junk Turrets.
modGunDrumMagazineExtenderQ3Desc,Increases ammo capacity by 40.\n\nInstalls in Junk Turrets.
modGunDrumMagazineExtenderQ4Desc,Increases ammo capacity by 60.\n\nInstalls in Junk Turrets.
modGunDrumMagazineExtenderQ5Desc,Increases ammo capacity by 80.\n\nInstalls in Junk Turrets.
modGunDrumMagazineExtenderQ6Desc,Increases ammo capacity by 100.\n\nInstalls in Junk Turrets.


modGunShotgunTubeExtenderMagazineQ2,[CF7F29][Quality 2][-] Tube Extender Mod
modGunShotgunTubeExtenderMagazineQ3,[A2A41B][Quality 3][-] Tube Extender Mod
modGunShotgunTubeExtenderMagazineQ4,[42C234][Quality 4][-] Tube Extender Mod
modGunShotgunTubeExtenderMagazineQ5,[315DCE][Quality 5][-] Tube Extender Mod
modGunShotgunTubeExtenderMagazineQ6,[400073][Quality 6][-] Tube Extender Mod
modGunShotgunTubeExtenderMagazineQ2Desc,Increases ammo capacity by 1.\n\nInstalls in Pump Shotguns and Rocket Launchers.
modGunShotgunTubeExtenderMagazineQ3Desc,Increases ammo capacity by 2.\nIncreases reload speed by 5%.\n\nInstalls in Pump Shotguns and Rocket Launchers.
modGunShotgunTubeExtenderMagazineQ4Desc,Increases ammo capacity by 3.\nIncreases reload speed by 10%.\n\nInstalls in Pump Shotguns and Rocket Launchers.
modGunShotgunTubeExtenderMagazineQ5Desc,Increases ammo capacity by 4.\nIncreases reload speed by 15%.\n\nInstalls in Pump Shotguns and Rocket Launchers.
modGunShotgunTubeExtenderMagazineQ6Desc,Increases ammo capacity by 5.\nIncreases reload speed by 20%.\n\nInstalls in Pump Shotguns and Rocket Launchers.

modGunBowPolymerStringQ2,[CF7F29][Quality 2][-] Polymer String Mod
modGunBowPolymerStringQ3,[A2A41B][Quality 3][-] Polymer String Mod
modGunBowPolymerStringQ4,[42C234][Quality 4][-] Polymer String Mod
modGunBowPolymerStringQ5,[315DCE][Quality 5][-] Polymer String Mod
modGunBowPolymerStringQ6,[400073][Quality 6][-] Polymer String Mod
modGunBowPolymerStringQ2Desc,Increases projectile velocity by 5%.\nIncreases entity damage by 2.\n\nInstalls in Crossbows.
modGunBowPolymerStringQ3Desc,Increases projectile velocity by 10%.\nIncreases entity damage by 4.\n\nInstalls in Crossbows.
modGunBowPolymerStringQ4Desc,Increases projectile velocity by 15%.\nIncreases entity damage by 6.\n\nInstalls in Crossbows.
modGunBowPolymerStringQ5Desc,Increases projectile velocity by 20%.\nIncreases entity damage by 8.\n\nInstalls in Crossbows.
modGunBowPolymerStringQ6Desc,Increases projectile velocity by 25%.\nIncreases entity damage by 10.\n\nInstalls in Crossbows.

modMeleeStructuralBraceQ2,[CF7F29][Quality 2][-] Structural Brace Mod
modMeleeStructuralBraceQ3,[A2A41B][Quality 3][-] Structural Brace Mod
modMeleeStructuralBraceQ4,[42C234][Quality 4][-] Structural Brace Mod
modMeleeStructuralBraceQ5,[315DCE][Quality 5][-] Structural Brace Mod
modMeleeStructuralBraceQ6,[400073][Quality 6][-] Structural Brace Mod
modMeleeStructuralBraceQ2Desc,Reduces durability degradation by 5%.\n\nInstalls in Tools and Firearms.
modMeleeStructuralBraceQ3Desc,Reduces durability degradation by 10%.\n\nInstalls in Tools and Firearms.
modMeleeStructuralBraceQ4Desc,Reduces durability degradation by 15%.\n\nInstalls in Tools and Firearms.
modMeleeStructuralBraceQ5Desc,Reduces durability degradation by 20%.\n\nInstalls in Tools and Firearms.
modMeleeStructuralBraceQ6Desc,Reduces durability degradation by 25%.\n\nInstalls in Tools and Firearms.

modMeleeGraveDiggerQ2,[CF7F29][Quality 2][-] Grave Digger Mod
modMeleeGraveDiggerQ3,[A2A41B][Quality 3][-] Grave Digger Mod
modMeleeGraveDiggerQ4,[42C234][Quality 4][-] Grave Digger Mod
modMeleeGraveDiggerQ5,[315DCE][Quality 5][-] Grave Digger Mod
modMeleeGraveDiggerQ6,[400073][Quality 6][-] Grave Digger Mod
modMeleeGraveDiggerQ2Desc,Increases damage to dirt by 6%.
modMeleeGraveDiggerQ3Desc,Increases damage to dirt by 12%.
modMeleeGraveDiggerQ4Desc,Increases damage to dirt by 18%.
modMeleeGraveDiggerQ5Desc,Increases damage to dirt by 24%.
modMeleeGraveDiggerQ6Desc,Increases damage to dirt by 30%.

modMeleeBunkerBusterQ2,[CF7F29][Quality 2][-] Bunker Buster Mod
modMeleeBunkerBusterQ3,[A2A41B][Quality 3][-] Bunker Buster Mod
modMeleeBunkerBusterQ4,[42C234][Quality 4][-] Bunker Buster Mod
modMeleeBunkerBusterQ5,[315DCE][Quality 5][-] Bunker Buster Mod
modMeleeBunkerBusterQ6,[400073][Quality 6][-] Bunker Buster Mod
modMeleeBunkerBusterQ2Desc,Increases damage to stone by 6%.
modMeleeBunkerBusterQ3Desc,Increases damage to stone by 12%.
modMeleeBunkerBusterQ4Desc,Increases damage to stone by 18%.
modMeleeBunkerBusterQ5Desc,Increases damage to stone by 24%.
modMeleeBunkerBusterQ6Desc,Increases damage to stone by 30%.

modMeleeIronBreakerQ2,[CF7F29][Quality 2][-] Iron Breaker Mod
modMeleeIronBreakerQ3,[A2A41B][Quality 3][-] Iron Breaker Mod
modMeleeIronBreakerQ4,[42C234][Quality 4][-] Iron Breaker Mod
modMeleeIronBreakerQ5,[315DCE][Quality 5][-] Iron Breaker Mod
modMeleeIronBreakerQ6,[400073][Quality 6][-] Iron Breaker Mod
modMeleeIronBreakerQ2Desc,Increases damage to iron by 6%.
modMeleeIronBreakerQ3Desc,Increases damage to iron by 12%.
modMeleeIronBreakerQ4Desc,Increases damage to iron by 18%.
modMeleeIronBreakerQ5Desc,Increases damage to iron by 24%.
modMeleeIronBreakerQ6Desc,Increases damage to iron by 30%.

modMeleeWoodSplitterQ2,[CF7F29][Quality 2][-] Wood Splitter Mod
modMeleeWoodSplitterQ3,[A2A41B][Quality 3][-] Wood Splitter Mod
modMeleeWoodSplitterQ4,[42C234][Quality 4][-] Wood Splitter Mod
modMeleeWoodSplitterQ5,[315DCE][Quality 5][-] Wood Splitter Mod
modMeleeWoodSplitterQ6,[400073][Quality 6][-] Wood Splitter Mod
modMeleeWoodSplitterQ2Desc,Increases damage to wood by 6%.
modMeleeWoodSplitterQ3Desc,Increases damage to wood by 12%.
modMeleeWoodSplitterQ4Desc,Increases damage to wood by 18%.
modMeleeWoodSplitterQ5Desc,Increases damage to wood by 24%.
modMeleeWoodSplitterQ6Desc,Increases damage to wood by 30%.

modMeleeDiamondTipQ2,[CF7F29][Quality 2][-] Diamond Blade Tip Mod
modMeleeDiamondTipQ3,[A2A41B][Quality 3][-] Diamond Blade Tip Mod
modMeleeDiamondTipQ4,[42C234][Quality 4][-] Diamond Blade Tip Mod
modMeleeDiamondTipQ5,[315DCE][Quality 5][-] Diamond Blade Tip Mod
modMeleeDiamondTipQ6,[400073][Quality 6][-] Diamond Blade Tip Mod
modMeleeDiamondTipQ2Desc,Reduces durability degradation by 5%.\n\nInstalls in Tools.
modMeleeDiamondTipQ3Desc,Reduces durability degradation by 10%.\n\nInstalls in Tools.
modMeleeDiamondTipQ4Desc,Reduces durability degradation by 15%.\n\nInstalls in Tools.
modMeleeDiamondTipQ5Desc,Reduces durability degradation by 20%.\n\nInstalls in Tools.
modMeleeDiamondTipQ6Desc,Reduces durability degradation by 25%.\n\nInstalls in Tools.

modFuelTankLargeQ2,[CF7F29][Quality 2][-] Fuel Tank Mod
modFuelTankLargeQ3,[A2A41B][Quality 3][-] Fuel Tank Mod
modFuelTankLargeQ4,[42C234][Quality 4][-] Fuel Tank Mod
modFuelTankLargeQ5,[315DCE][Quality 5][-] Fuel Tank Mod
modFuelTankLargeQ6,[400073][Quality 6][-] Fuel Tank Mod
modFuelTankLargeQ2Desc,Increases fuel capacity by 20.\n\nInstalls in Chainsaws and Flamethrowers.
modFuelTankLargeQ3Desc,Increases fuel capacity by 40.\n\nInstalls in Chainsaws and Flamethrowers.
modFuelTankLargeQ4Desc,Increases fuel capacity by 60.\n\nInstalls in Chainsaws and Flamethrowers.
modFuelTankLargeQ5Desc,Increases fuel capacity by 80.\n\nInstalls in Chainsaws and Flamethrowers.
modFuelTankLargeQ6Desc,Increases fuel capacity by 100.\n\nInstalls in Chainsaws and Flamethrowers.

modVehicleFuelSaverQ2,[CF7F29][Quality 2][-] Fuel Saver Mod
modVehicleFuelSaverQ3,[A2A41B][Quality 3][-] Fuel Saver Mod
modVehicleFuelSaverQ4,[42C234][Quality 4][-] Fuel Saver Mod
modVehicleFuelSaverQ5,[315DCE][Quality 5][-] Fuel Saver Mod
modVehicleFuelSaverQ6,[400073][Quality 6][-] Fuel Saver Mod
modVehicleFuelSaverQ2Desc,Vehicles use 10% less fuel.
modVehicleFuelSaverQ3Desc,Vehicles use 16% less fuel.
modVehicleFuelSaverQ4Desc,Vehicles use 23% less fuel.
modVehicleFuelSaverQ5Desc,Vehicles use 31% less fuel.
modVehicleFuelSaverQ6Desc,Vehicles use 40% less fuel.

modVehicleSuperChargerQ2,[CF7F29][Quality 2][-] Super Charger Mod
modVehicleSuperChargerQ3,[A2A41B][Quality 3][-] Super Charger Mod
modVehicleSuperChargerQ4,[42C234][Quality 4][-] Super Charger Mod
modVehicleSuperChargerQ5,[315DCE][Quality 5][-] Super Charger Mod
modVehicleSuperChargerQ6,[400073][Quality 6][-] Super Charger Mod
modVehicleSuperChargerQ2Desc,Increases vehicle speed by 6%.
modVehicleSuperChargerQ3Desc,Increases vehicle speed by 12%.
modVehicleSuperChargerQ4Desc,Increases vehicle speed by 18%.
modVehicleSuperChargerQ5Desc,Increases vehicle speed by 24%.
modVehicleSuperChargerQ6Desc,Increases vehicle speed by 30%.

modVehicleReserveFuelTankQ2,[CF7F29][Quality 2][-] Reserve Fuel Tank Mod
modVehicleReserveFuelTankQ3,[A2A41B][Quality 3][-] Reserve Fuel Tank Mod
modVehicleReserveFuelTankQ4,[42C234][Quality 4][-] Reserve Fuel Tank Mod
modVehicleReserveFuelTankQ5,[315DCE][Quality 5][-] Reserve Fuel Tank Mod
modVehicleReserveFuelTankQ6,[400073][Quality 6][-] Reserve Fuel Tank Mod
modVehicleReserveFuelTankQ2Desc,Increases vehicle fuel capacity by 20%.
modVehicleReserveFuelTankQ3Desc,Increases vehicle fuel capacity by 40%.
modVehicleReserveFuelTankQ4Desc,Increases vehicle fuel capacity by 60%.
modVehicleReserveFuelTankQ5Desc,Increases vehicle fuel capacity by 80%.
modVehicleReserveFuelTankQ6Desc,Increases vehicle fuel capacity by 100%.

modVehiclePlowQ2,[CF7F29][Quality 2][-] Vehicle Plow Mod
modVehiclePlowQ3,[A2A41B][Quality 3][-] Vehicle Plow Mod
modVehiclePlowQ4,[42C234][Quality 4][-] Vehicle Plow Mod
modVehiclePlowQ5,[315DCE][Quality 5][-] Vehicle Plow Mod
modVehiclePlowQ6,[400073][Quality 6][-] Vehicle Plow Mod
modVehiclePlowQ2Desc,Increases vehicle Entity and Block damage by 10%.\nReduces vehicle damage taken by 10%.\n\nInstalls onto the Truck.
modVehiclePlowQ3Desc,Increases vehicle Entity and Block damage by 20%.\nReduces vehicle damage taken by 20%.\n\nInstalls onto the Truck.
modVehiclePlowQ4Desc,Increases vehicle Entity and Block damage by 30%.\nReduces vehicle damage taken by 30%.\n\nInstalls onto the Truck.
modVehiclePlowQ5Desc,Increases vehicle Entity and Block damage by 40%.\nReduces vehicle damage taken by 40%.\n\nInstalls onto the Truck.
modVehiclePlowQ6Desc,Increases vehicle Entity and Block damage by 50%.\nReduces vehicle damage taken by 50%.\n\nInstalls onto the Truck.

modVehicleArmorQ2,[CF7F29][Quality 2][-] Vehicle Armour Mod
modVehicleArmorQ3,[A2A41B][Quality 3][-] Vehicle Armour Mod
modVehicleArmorQ4,[42C234][Quality 4][-] Vehicle Armour Mod
modVehicleArmorQ5,[315DCE][Quality 5][-] Vehicle Armour Mod
modVehicleArmorQ6,[400073][Quality 6][-] Vehicle Armour Mod
modVehicleArmorQ2Desc,Increases vehicle Entity and Block damage by 10%.\nReduces vehicle damage taken by 10%.\n\nInstalls onto the Motorcycle and Gyrocopter.
modVehicleArmorQ3Desc,Increases vehicle Entity and Block damage by 20%.\nReduces vehicle damage taken by 20%.\n\nInstalls onto the Motorcycle and Gyrocopter.
modVehicleArmorQ4Desc,Increases vehicle Entity and Block damage by 30%.\nReduces vehicle damage taken by 30%.\n\nInstalls onto the Motorcycle and Gyrocopter.
modVehicleArmorQ5Desc,Increases vehicle Entity and Block damage by 40%.\nReduces vehicle damage taken by 40%.\n\nInstalls onto the Motorcycle and Gyrocopter.
modVehicleArmorQ6Desc,Increases vehicle Entity and Block damage by 50%.\nReduces vehicle damage taken by 50%.\n\nInstalls onto the Motorcycle and Gyrocopter.

AmmoStackPouch,Ammo Capacity Backpack
AmmoStackPouchDesc,Increases ammo stack size of your choice by 10%.
backpackHandgunAmmo,Handgun Capacity Backpack
backpackHandgunAmmoDesc,Increases your handgun ammo stack size by 10%.
backpackCrossbowAmmo,Crossbow Capacity Backpack
backpackCrossbowAmmoDesc,Increases your crossbow ammo stack size by 10%.
backpackTurretAmmo,Turret Capacity Backpack
backpackTurretAmmoDesc,Increases your turret ammo stack size by 10%.
backpackShotgunAmmo,Shotgun Capacity Backpack
backpackShotgunAmmoDesc,Increases your shotgun ammo stack size by 10%.
backpackChaingunAmmo,Chaingun Capacity Backpack
backpackChaingunAmmoDesc,Increases your chaingun ammo stack size by 10%.
backpackFuelAmmo,Fuel Capacity Backpack
backpackFuelAmmoDesc,Increases your fuel stack size by 10%.
backpackRocketAmmo,Rocket Capacity Backpack
backpackRocketAmmoDesc,Increases your rocket ammo stack size by 10%.
backpackPlasmaAmmo,Energy Cell Capacity Backpack
backpackPlasmaAmmoDesc,Increases your plasma cell ammo stack size by 10%.

medicalT1-1DM,Tier 1: Stimpack
medicalT2-2DM,Tier 2: Medikit
medicalT2-3DM,Tier 2: Blue Stimpack and Antibiotics
medicalT3-1DM,Tier 3: Blue Medikit
medicalT3-2DM,Tier 3: Health Potion

foodT2-5DM,Tier 2: Steak and Potato Meal, Red Honey Tea & Ash Chicken Stew
foodT3-1DM,Tier 3: Yucca Juice Smoothie
foodT3-2DM,Tier 3: Hobo Stew & Honey Coffee
foodT3-4DM,Tier 3: Chili Dog & Chicken Wings
foodT3-5DM,Tier 3: Shame Chowder, Honey Glazed Shame & Tuna Fish Gravy Toast
foodT4-1DM,Tier 4: Tuna Fish Gravy Toast
foodT4-2DM,Tier 4: Shepherd's Pie
foodT4-3DM,Tier 4: Honey Brisket


ShotgunsQ2,"[CF7F29][Quality 2][-] Pump Shotgun, [CF7F29][Quality 2][-] Super Shotgun"
ShotgunsQ3,"[A2A41B][Quality 3][-] Pump Shotgun, [A2A41B][Quality 3][-] Super Shotgun"
ShotgunsQ4,"[42C234][Quality 4][-] Pump Shotgun, [42C234][Quality 4][-] Super Shotgun"
